Nombre_Restaurante,Rating,Cantidad_Reseñas,Precio,Tipo_Cocina,Resena
$1.50 Fresh Pizza,4.3,341,Bajo,"pizza, fast food",If you are in New York make sure to stop... | Nice cheep pizza
Luanne's Wild Ginger,4.5,147,Medio,"asian, fusion","The dishes we had were absolutely amazing, we had the vegetarian Tempura, the... | Lovely, chilled restaurant in Chinatown with great vegan food"
Lucky Tiger,4.0,1,No disponible,"bar, asian, contemporary, pub",Korean Short Rib Tacos!
Lunchadores NYC,4.3,98,Bajo,"mexican, latin","The fish taco and shrimp taco were very tasty, as well as the added guacamole... | Great little taco joint!"
Lure Fishbar,4.1,687,Medio,"american, seafood, sushi","Our entrees, Steamed Red Snapper and Miso Salmon were excellent and service w... | The rice was perfect and the tuna was d..."
Luzzo’s,4.4,334,Medio,"italian, pizza, neapolitan",Was in NYC for the first time and a friend recommended Luzzo's for their... | Excellent pizza!
L’amico,3.9,519,Medio,"italian, seafood, contemporary, healthy, dining bars",We ate at L'Amico two nights in a row - one was just not enough to enjoy the... | ... the best seafood entree that we hav...
L’express,3.9,296,Medio,french,Had lunch here today in their outdoor section. It was wonderful. Nice heater... | Excellent stop
MERMAID OYSTER BAR TIMES SQUARE,4.7,47,Muy Alto,"american, seafood, contemporary","... and had a funky taste, but the oysters and clams were fresh and delicious. | Fast, Friendly Bar Service. Great Happy Hour!"
MEXiCUE,4.3,224,Medio,"mexican, southwestern, bar, barbecue, healthy, street food",We were after something quick and tasty close to where we were staying and this... | A bright light on Broadway
Macao Trading Company,4.2,226,Medio,"chinese, fusion, portuguese",Their Lobster Noodles was not bad either and we accompanied them with fried r... | The decor is cool and menu is good...
Mad Dog & Beans Mexican Cantina,4.1,336,Medio,"mexican, latin, central american","excellent fajitas, too much to finish. | We had outdoor seating on Stone Street..."
Madame Vo,4.4,72,Medio,"asian, vietnamese",Get the Madame Pho - yes with the short rib! Don't even hesitate or think about... | Very good!
Maestro Pasta,4.6,43,Medio,italian,... & amazing homemade pasta in w. vill | Atmosphere and Food that Soothed Our Souls on a Hot Day
Maialino (vicino),4.2,927,Muy Alto,"italian, american",Danny Meyer restaurants are known for... | Roman style Italian in Murray Hill
Main Noodle House,4.3,369,Bajo,"chinese, asian, cantonese, szechuan, hong kong",We opted for curry noodles and orange c... | A great restaurant in the tourist part!
Maison Harlem,4.3,188,Medio,french,"Maison Harlem is a jewel of French fusion in Harlem, NYC. The food is just... | Great atmosphere"
Maison Pickle,4.3,250,Medio,"american, bar","... big, so we opted to share a French toast with a bowl of the maison fries ... | Your French dip heaven"
Majorelle,4.5,97,Muy Alto,"french, cafe",Every restaurant before and after will most likely will never live up to the... | Elegant tea at the beautiful Majorelle at the Lowell Hotel
Malaparte,4.2,152,Medio,"italian, pizza, mediterranean, european","The pasta was fresh and taste was superb. Also, the service was amazing... | Perfect end of day meal"
Malatesta Trattoria,4.3,256,Medio,italian,We miss the friendly service at Malatesta. We will miss the food but have no... | A friendly place with a real Italian experience!
Malibu Diner,4.3,580,Bajo,"american, cafe, diner",Everything You Could Want in an NYC Diner | Pretty much what you're looking for in a diner.
Mama Mia 44SW,3.9,661,Medio,"italian, bar, contemporary",I had linguine with clams and marinara and my partner Kev had chicken in Mars... | ... with tasty tiramisu prior to seeing...
MamaSushi,2.9,12,Medio,"japanese, sushi, asian, fusion","My favorite had fried beef, fried pork, and avocado. YUMMMMMM!! Also had the... | Good start."
Mamasita Bar & Grill,4.3,254,Medio,"mexican, latin",Great restaurant and the food and Margaritas were the best I've had. Our server... | Chimichanga- Specifically sought out in...
Mamazul Mexican Grill,3.7,35,Medio,"mexican, american, latin, seafood","Good tacos, great service. | Great experience after a busy day exploring New York"
Mamo Restaurant,4.3,201,Medio,italian,"All the food I have had is excellent, but the truffle pizza is out of this... | Beautiful Christmas Eve Experience"
Mangia 57th Street,4.2,213,Medio,italian,"There was quite a selection to choose from: pasta, paninis, salads and sandwi... | Stopped off for lunch and was very..."
Manhatta,4.5,459,Muy Alto,american,"... the oysters WOW!! Then t the outstanding Sea Bass and the awesome Burger. | The service is amazing, as are the views..."
Manhattan Diner,4.2,559,Bajo,"american, diner","We stayed at the Hotel Newton, two doors... | Ok for late breakfast"
Marc Forgione,4.4,393,Muy Alto,american,Don't forget the chili lobster. Every course was amazing. The staff was... | Interesting Rustic Interior and Very Good Food
Marea,4.4,2416,Muy Alto,"italian, bar, seafood","Good and bad | Great Food, But Room for Improvement in Atmosphere and Details"
Margon,4.5,219,Bajo,"caribbean, latin, cuban, central american","Black beans, rice, and plantains for sides. | Family place, warm, welcoming and delicious."
Mari Vanna,4.3,353,Medio,"european, russian, eastern european","Russian food is delicious, many choices. Start off with a horseradish infused... | Taste of home made Russian food"
MarkJoseph Steakhouse,4.3,211,Muy Alto,"steakhouse, seafood",NOT pretentious which is what a steakhouse should be. Value: Amazing value... | Porterhouse for two
Market Crates,4.7,46,Bajo,"cafe, healthy","Smoked salmon bagel, 2 omelettes, crepe and coffee and drinks for 4 cost us... | A Perfect place where to eat in NYC"
Market Table,4.5,468,Medio,"american, contemporary",Amazing | Very Happy Repeat Diners
Marlow Bistro,4.3,95,Medio,"italian, mediterranean, contemporary",Marlow bistro is real hidden gem. Beautiful Cathedral view and romantic... | Cozy place. Excellent food.
Marsanne,4.8,46,Medio,"lebanese, mediterranean, greek","... classics like hummus, baba ganoush, labneh, feta, and artichoke spreads. | Worth Every Visit"
Marta,4.2,849,Medio,"italian, pizza","The pizza was excellent, toppings flavorful but not overpowering, crust thin... | Great spot for dinner with friends"
Mas (farmhouse),4.3,241,Muy Alto,american,Our evening at Mas was wonderful. The service was attentive and professional... | Unexpected Gem
Masseria Dei Vini,4.5,619,Muy Alto,"italian, pizza, neapolitan, campania, apulian",They said the salmon was the best they have ever eaten…. | The outstanding Italian restaurant in NYC
Mastro's Steakhouse,4.4,725,Muy Alto,"steakhouse, seafood",Mastros did not disappoint! | Best Steak I have had in New York.
Match 65 Brasserie,4.3,470,Medio,"french, american, steakhouse, grill","Great French Atmosphere in the middle of Madison NYC | Food was excellent, service was a little slow"
Max Brenner NYC,4.2,2071,Medio,"american, contemporary",The dishes are so unique and their chocolate is delicious. I think my wife... | Good dessert
Maya,4.0,249,Medio,mexican,Excellent Mexican good. Fajitas chicken very good but a little pricey. Great... | A good Mexican restaurant.
McGee's Pub & Restaurant,3.8,1190,Medio,"american, irish, bar, pub",The staff was very attentive. Added bonus: this was the pub featured in How I... | 2 Drunk Englishman walk into a bar.
Mediterraneo,4.0,147,Medio,"italian, mediterranean",The staff at the restaurant were so friendly and helpful. I highly recommend... | Good Italian at a neighbor restaurant
Megan’s Bar & Kitchen,4.5,267,Medio,"irish, bar, pub",Great Place and Irish Breakfast | Super friendly spot with good food and a huge choice of drinks
Megu,4.5,141,Medio,"japanese, sushi, asian","Amazing food, amazing ambiance!! But seriously. The food is incredible. A lot... | Delicious AND hip"
Meijin Ramen,4.7,186,Medio,"japanese, asian, soups","Delicious, fresh, nice atmosphere and great service | Great spot for ramen fans!"
Melt Shop,4.2,186,Bajo,"american, healthy",Nice food pity about the bathroom!! | My hubby had the fried chicken with...
Meme Mediterranean,4.3,159,Medio,"mediterranean, middle eastern",Used to love this lovely and cozy corner restaurant. Dishes used to be... | A beautiful birthday night
Mercato,4.1,1085,Medio,"italian, pizza, apulian","We had the ricotta filled ravioli with sage butter, beef ragout gnocchi... | Good value"
Mercury Bar,4.3,180,Medio,"american, irish, bar, pub, beer restaurants",I had the mercury bar burger (stella blue cheese and grilled onions). It was... | ⭐️⭐️⭐️⭐️ Cool Spot but Cocktails Could Be Better
Mermaid Oyster Bar,4.5,292,Medio,seafood,Only the Lobster Fritters were not as t... | Oysters and Wine!
Metro Diner,4.2,493,Bajo,"american, diner",The restaurant is very clean and the service friendly and efficient. As a diner... | Great place for breakfast
Mighty Quinn's Barbeque,4.4,675,Medio,"american, southwestern, barbecue",Superb brisket served by wonderful people | Good BBQ for NYC ! They do a great job !
Mikado,4.8,41,Medio,"japanese, sushi, asian, healthy, beer restaurants, kyoto cuisine, kyushu cuisine",Delicious Maki rolls | ... service and delicious scallop sushi
Mike's Bistro,4.5,185,Muy Alto,"french, fusion","Mike's has amazing food, great service, wonderful ambiance and a great... | Mikes is our absolute favorite"
Minetta Tavern,4.2,1220,Medio,"american, bar",... even finish but said the cured salmon was among the best he'd ever had). | Old school exclusivity
Misirizzi Italian Restaurant,4.8,41,Medio,"italian, mediterranean, wine bar","The pasta was impeccably cooked, handmade, and the ambience and the restauran... | ... run small italian restaurant in the..."
Mokbar,4.3,145,Medio,"asian, korean","Delicious Korean food at the Chelsea Market. We ate here on our last visit to... | Darn good, potential to be great."
Moko,4.5,2,No disponible,"sushi, fusion",Food was phenomenal | excellent!
Molly's Pub & Restaurant,4.4,231,Medio,"irish, bar, pub","A classic Irish pub complete with sawdust on the floor, Irish music on the... | Why not?"
Molyvos,4.3,1118,Medio,"seafood, international, greek, wine bar","I have a hard time deciding what I’ll get because I also love their scallops,... | Solid, On the Expensive Side."
Mom's Kitchen & Bar,4.4,245,Medio,"american, bar, diner",Delicious & huge portions | Mac and cheese pancakes
Momofuku Noodle Bar,4.4,1499,Medio,"japanese, asian, soups","Outstanding fried chicken and ramen | Good, but Come Early for the Fried Chicken"
Momofuku Ssam Bar,4.3,682,Medio,asian,We also order the pork buns- not on the... | Good food
Momosan Ramen & Sake,4.5,632,Medio,"japanese, asian, soups",Amazing ramen on a whim | Great fresh food and immaculate service
Momoya Chelsea,4.5,259,Medio,"japanese, sushi, asian","We ordered the spicy tuna and the spicy salmon rolls online for delivery, and... | For good reason. The sushi is phenomenal..."
Monkey Bar,4.1,621,Muy Alto,"american, bar",My daughter ordered pasta and I had the prime rib French dip. | recommend
Monte's Trattoria,4.4,557,Medio,italian,True italian atmosphere | Traditional Italian comfort food
Morandi,4.1,597,Medio,"italian, pizza","To me, its the perfect dish. My wife also enjoyed her healthy brunch meal. Once... | Great steak"
Morning Star Cafe,4.2,447,Bajo,"american, diner",We ate here twice on our last visit... | Typical old-school NY diner.
Morton Williams ,4.4,288,Medio,american,We normally stay at Hilton West 57th Street. Morton Williams is an upscale... | Very complete
Morton's The Steakhouse,4.3,1252,Muy Alto,"american, steakhouse, seafood, diner",... both the filet mignon [A++] and the... | Christmas dinner
Motorino Pizza,4.4,294,Medio,"italian, pizza","We ordered a pizza to be delivered. It arrived quickly, hot and delicious. I... | Excellent pizza. Horrible music."
Moustache Pitza,4.3,146,Bajo,"lebanese, mediterranean, middle eastern",The service is friendly. We thought the chicken kebab plate and the hummus with... | Lively fun eatery
Mr. Broadway Kosher Restaurant,3.9,328,Medio,"american, israeli",Mr Broadway is all about the food. It is the best you are going to get in the... | Pro con advice kosher classy meaty restaurant
Mr. Capri Restaurant,5.0,14,Medio,italian,"... appetizer, calamarata, pasta estiva. | A real gem of an Italian"
Mr. Taka Ramen,4.5,88,Medio,"japanese, asian, soups","Simply the best Ramen I ever eat... try the chili one. I have no word, really... | Lost Bookbag"
Mudspot,4.5,139,Medio,"american, cafe, healthy","Our AirBnB host recommended this place, in the fantastic East village, on our... | a stable turntable"
Mughlai Indian Cuisine,4.8,43,Medio,indian,... Kebab (appetizer) and for our meals the Chicken Saagwala and Mughlai Lamb. | We were craving indian food and we read...
Mulligan's Pub,4.1,237,Medio,"irish, bar, pub","Food at the Muligans was very good, quick service, we were there at 4pm, and as... | Friendly midtown bar"
Murphy's Tavern,4.1,175,Medio,"american, irish, bar, pub",We found Murphy’s on our first night in NYC as it was close to our hotel. We... | Good bar.
Murray Hill Diner,4.3,713,Bajo,"american, diner",Good eggs! | Great spot for breakfast in Murray Hill
Mustang Harry's,4.2,493,Medio,american,"... recommend the Harry’s Burger, fish and chips, or the nachos. | Place to eat in New York City"
NY Pizza Suprema,4.5,1410,Bajo,"italian, pizza, fast food",Best NY pizza | I had 2 slices of pepperoni pizza and the...
Nai Tapas Bar,4.5,124,Medio,"latin, mediterranean, spanish",Can’t wait to go back for delicious tapas! | Spanish culinary retreat
Nelore Grill Brazilian Kitchen,4.3,177,Medio,"brazilian, latin","The people are friendly, most folks eating there were Brazilian. Definitely the... | Great food"
Nerai,4.6,704,Muy Alto,"seafood, mediterranean, greek","Amazing Greek cuisine, beautiful interior, great staff in Midtown East | ... Greek salad and chicken skewers."
New Wonjo Restaurant,4.1,484,Medio,korean,"For our mains, we ordered the Bulgogi Bibimbap and the Octopus Bibimbap. | It's very important the kind of side..."
New York Luncheonette,4.3,1212,Bajo,"american, diner",Perfect New York Diner with huge portions and really reasonable prices. | ... Parmigan sandwiches were really tas...
Nice Matin,4.0,995,Medio,french,I stayed at the Lucerne Hotel so I had breakfast here for most of the days. The... | Frittata also excellent and substituted...
Nick's,4.4,278,Medio,"italian, pizza",Nick's- A popular neighborhood Pizzeria and restaurant located on 2nd Ave. and... | New York City Pizza
Nino's 46,4.1,405,Medio,"italian, contemporary, wine bar",Grazie mille. | We ordered two pizzas and calamari (sma...
Nittis,4.4,137,Medio,italian,"For the main course, I settled on Ricotta Ravioli paired with an imported Mon... | I also ordered an Aperol Spritz since it..."
Nizza,4.2,1103,Medio,"italian, pizza","... squash salad, great wine and drinks... | Worth a visit for lunch or dinner"
Nobu Downtown,4.3,1605,Muy Alto,"japanese, sushi, contemporary",The lobster tempura was extremely tough to chew to a point that I wasn’t comf... | Had to see what all the rappers were raving about!
Nobu Fifty Seven,4.3,1958,Muy Alto,"japanese, sushi, contemporary","We ordered the spicy tuna roll, the black cod with miso, the eggplant miso, t... | Not worth the price"
Nocello,4.3,461,Medio,italian,The nocello liqueur was slightly sweet... | An Old Italian Restaurant from the Past.
Nolita Pizza,4.8,65,Bajo,"italian, pizza, fast food",Nolita is absolutely delicious and raises the bar for what pizza should be. The... | Best Pizza in Town
Nom Wah Tea Parlor,4.0,1035,Bajo,"chinese, asian, cantonese, shanghai, hong kong",The chef’s specials and anything with beef were the best. | The ribs were very disappointing as the...
Nomad Restaurant,4.2,176,Medio,moroccan,My siblings and I enjoyed a delicious meal at Nomad on a Saturday night. I ate... | Tasty but expensive
Nonna Beppa,4.6,110,Medio,"italian, pizza, emilian, romagna",... and perhaps the best chocolate salami and tiramisu is the entire city. | What an amazing way to impress my GF of...
Norma - Gastronomia Siciliana,4.6,345,Medio,"italian, pizza, sicilian",My wife ordered the Trapanese pasta and I... | Authentic Sicilian
Norma Hell's Kitchen,4.7,40,Medio,italian,Feel at home | Tasty Italian!
Nougatine at Jean Georges,4.2,1129,Muy Alto,"french, american, seafood, european, asian, contemporary",Foie gras with cherry was excellent. | And we both had wonderful black sea bass.
Novitá,4.2,220,Medio,italian,"... night and ordered the Branzino and Tagliatelle Truffle pasta (a special). | ... mixed - tuna tartare (delicious), g..."
Numero 28 - East Village,4.4,194,Medio,"italian, pizza","But if you are in the neighborhood and want pizza, this is the place to go.... | Best pizza in the US"
Nusr-Et Steakhouse New York,3.7,568,Muy Alto,"steakhouse, dining bars",Steak cooked in butter with a room full of new money people watching! | ... otherwise the salmon is a good choice
Nyonya,4.0,352,Medio,"nonya, malaysian","we started with the roti and then had the chicken satay, the tum yum soup and... | I was introduced to Malaysian food here..."
O'Donoghue's Pub and Restaurant,4.2,907,Medio,"irish, bar","The burger was topped with blue cheese,... | Christmas dinner atmosphere & fabulous friendly staff"
O'Hara's Restaurant & Pub,4.4,1578,Medio,"american, irish, bar, pub","We had a burger, Reuben, fries and French onion soup. | Great pub with a lot of history"
OCabanon,4.3,397,Medio,"french, european, wine bar","We split escargot, pate and foie gras. | My wife and I made reservations at this..."
ONE Dine,4.1,349,Muy Alto,"american, contemporary, dining bars",The optimistically named “linguini and pork belly” was simply linguini with a... | For the price of a meal at a restaurant...
Obao,4.4,1274,Medio,"asian, thai, vietnamese, healthy",Try the dumplings and the spring rolls … very tasty. | I would come back
Obao Midtown,4.5,433,Medio,"thai, vietnamese","For mains, pho soup, green curry, garlic noodles, and cashew fried chicken. | (We were there at 12:30) As someone from..."
Ocean Prime,4.5,777,Muy Alto,"steakhouse, seafood, sushi",My husband had the wagyu steak I had the scallop risotto and we also had the... | The scallops were exquisite and so fresh.
Oceana,4.3,1243,Muy Alto,"american, steakhouse, bar, seafood, international, contemporary","My wife had the mahi mahi entree. | Exceptional Sommelier, Disappointing Service"
Old Town Bar,4.2,199,Medio,"american, bar, pub","Awesome experience, BEST Buffalo Wings and BEST Bartender! | As long I am spending my Saturdays in..."
Olio E Più,4.7,3931,Medio,"italian, pizza",Best tiramisu ever - great sercice icing on the cake! | ... squash risotto to a perfectly seare...
Olive Garden Italian Restaurant,4.0,4668,Medio,american,Iconic American restaurant! | Loved the breadsticks and salad whilst...
"One if by Land, Two if by Sea",4.1,847,Muy Alto,"italian, french, contemporary",For starters we had the Foie Gras and the tempura squash blossom. | Lovely Date Night
Ootoya,4.2,138,Medio,"japanese, sushi, asian","It is an authentic Japanese Restaurant, not cheap but we really enjoyed the... | Authentic in what it does"
Orsay,3.9,373,Medio,"french, international, european","Goat cheese salad was ok, but the chicken didn’t have enough taste - Dijon ta... | I have visited Orsay for many years. The..."
Orso,4.4,510,Medio,italian,"The restaurant was recommended to us by someone we met in the elevator and we... | Tiramisu, olive oil cake, tartufo, afog..."
Ortomare Ristorante Pizzeria,4.8,50,Medio,italian,"And such delicious food! We enjoyed Bietole e spinaci—a salad of red beets... | Wonderful food , clean and friendly"
Osamil,4.6,80,Medio,"bar, asian, korean","We got 3 entrees so we all shared them, and 2 appetizers which were all so... | A Korean Town Must"
Osteria Al Doge,4.2,1483,Medio,"italian, seafood",... wine sauce and salmon ravioli entrees. | Pre theater dinner
Osteria Delbianco Midtown,4.7,103,Medio,italian,Nice salad and nice small mussels. | Perfect
Osteria La Baia,4.5,54,Muy Alto,"italian, bar, seafood, wine bar",Osteria La Baia is a master in seafood and pasta | Be careful with the drinks bill
Osteria Laguna Restaurant,4.1,842,Medio,italian,My teenage daughter and I stayed in the... | Expensive but good
Otani-japanese Restaurant,5.0,27,Medio,"japanese, sushi, asian, healthy, japanese fusion","Great vibe, great sushi | Nothing to complain about! Everything’s great!"
Ovest Pizzoteca,4.4,204,Medio,"italian, pizza","Really good neapolitan pizza | Clams, calamari, mixed green salad, gno..."
P.J. Clarke's,4.2,1775,Medio,"american, bar, dining bars","10/10 Food, service not so much | Great spot for after work drinks and dinner"
P.J. Clarke's On The Hudson,3.9,506,Medio,"american, bar","The fish, lobster roll, & egg rolls were delicious! | What a terrific location for a meal and a..."
P.S. Kitchen,4.5,235,Medio,"american, healthy",15/10 so amazing | The best VEGAN Restaurant ever!
PJ Carney's,4.2,229,Medio,"american, irish, bar, pub","Its very simple to get the best out of this bar; sit at the bar, order a beer... | Excellent Old-Time Irish-American Bar/R..."
Paesano,4.1,851,Medio,italian,We where lucky to walk into Paesano in Little Italy NYC with so many options to... | Tasty Lunch in a Authentic Italian
Palace Restaurant,4.1,250,Bajo,"italian, american",I hate the little plastic containers of butter and syrup for the pancakes. | Great place classic diner
Palermo Argentinian Bistro,3.7,18,Medio,"steakhouse, bar, pub, argentinean, south american","Top quality amazingly cooked steak | ... solo at the bar, a date night at on..."
Palma,4.4,457,Medio,italian,"The truffle pasta was🙌🏼🙌🏼 | The ""atrium garden"" roses were lovely..."
Pan D'oro,4.8,103,Medio,"italian, cafe",Amazing | Exelent
Panineria,4.7,67,Bajo,"italian, pizza, wine bar","After the first visit, you can t stop going back and all other sandwich in the... | Good food in a rush or not, this is the place!"
Papi Pasta & Pizza,4.8,74,Medio,"italian, american, pizza, contemporary",Best pasta I’ve ever had | Absolutely delicious and great music!
Pappardella,4.2,539,Medio,italian,"... after the restaurant, the Pappardelle butter and the Pappardelle Funghi. | KALE SALAD WITH GOAT CHEESE WAS DELICIOUS..."
Park Avenue Tavern,4.2,561,Medio,"american, bar, pub",Salmon eggs benedict was very tasty. | Lovely Early Dinner
Park Rose NYC,5.0,8,Muy Alto,italian,Fabulous eve | Great drinks and dinner in NY
Parker & Quinn,4.3,940,Medio,"american, bar","... crispy Yukon potatoes, fresh berries and coconut on the French toast. | Good salads for lunch!"
Pascalou,4.3,268,Medio,"french, european",The duck confit salad was delicious as was the baked brie and salad. For a... | Nice Carnegie Hill Bistro
Pasta Eater,4.6,105,Medio,"italian, american",Hope the 6th anniversary goes well guys. | First time at this restaurant and we will...
Pastagasm,4.8,40,Medio,italian,"Fantastic pasta, very tasty. We came more than once! | Great pasta for all the family"
Pastis,4.2,220,Medio,"french, european","We ordered everything from filet, salmon, spaghetti, chicken, and seafood to... | Best burger in nyc!"
Pastrami Queen,4.1,496,Medio,"american, deli","Potato knish was my first one, and it was great! | Had a hot pastrami sandwich and it had..."
Patiala Indian Grill,4.3,175,Medio,indian,"In town for daughters graduation, she requested Indian cuisine. Found Patiala 2... | We ordered samosas that were served fre..."
Patsy's Italian Restaurant,4.5,5571,Medio,"italian, neapolitan",There was loads of sweet lobster to pul... | Amazing food and unforgettable experience!
Patsy's Pizza,4.2,289,Medio,"italian, pizza",Cash only and an old school vibe - a couple blocks up from the top of Central... | Excellent Thin Crust Pizza
Patsy's Pizza--74th Street,4.0,334,Medio,"italian, pizza","Luckily , the grilled salmon as well as the pasta dishes were delicious. | Good thin crust pizza, but only if you..."
Patsy's Pizzeria,4.1,245,Medio,"italian, pizza",The beer is great and the staff introduced the local beer and you can have a... | Ordered a regular large Pizza Margherit...
Paul & Jimmy's Restaurant,4.3,78,Medio,italian,"Very friendly service but the food. Three of us ate very different meals, every... | Enjoyable dinner with old friends"
Paul's Da Burger Joint,4.4,271,Bajo,"american, diner",The burger was amazing and well prepared . The burger was really juicy and I... | The burgers are excellent but the place is not as cheap as it appears
Paul's on Times Square,4.0,236,Medio,"italian, bar, contemporary",Restaurant is upstairs in the Hilton Garden Inn. Easy to get a table with no... | After sampling Margherita on the rocks...
Pax Wholesome Foods,4.1,245,Bajo,"american, cafe","Pizza was good, drinks were cold and service was friendly. There's not really a... | Great for a fast meal"
Pazza Notte,4.2,1211,Medio,"italian, pizza",This place is simply brilliant. Even though it was really busy the service was... | Classic Italian
Peacefood Cafe,4.5,119,Medio,"american, cafe, healthy","Two weeks ago, Andrea and I met at Peacefood Café located on 11th Street off... | ... pumpkin sandwich with seitan added."
Peak with Priceless Restaurant & Bar,4.3,254,Muy Alto,american,"... to a honest-to-goodness burger and fries, all without feeling diluted. | Perfect Wedding Day Dinner"
Pearl Street Diner,3.9,320,Bajo,"american, diner",At last I finally got to visit the PSD. Heard much about this place from... | ... items like oatmeal aren’t available...
Peasant,4.2,384,Medio,italian,"My wife and I ate at Peasant on a visit to NYC about 18 years ago and we wanted... | Then, we had the suckling pig and the r..."
Peking Duck House Chinatown,3.8,763,Medio,"chinese, asian, cantonese, hong kong",The Peking Duck is a Stellar Experience! | Go if you like duck! Or anything else Chinese actually
Pen Top,4.1,314,Muy Alto,bar,Once you find the right elevator it will take you to the top where the rooftop... | Great view
Pennsylvania 6 NYC,4.0,227,Medio,"american, bar","If you live, travel, or work near Penn Station, this place is a solid choice... | ... the Penn6 burger and margherita piz..."
Pep's on Grand,4.4,328,Medio,"italian, pizza",Nice family spot in Little Italy | Good Pizza
Pepe Rosso Social,4.3,149,Medio,italian,"We had the special black pepper gnocchi with shrimp and calamari, which was... | Great food @ great prices"
Pepolino Ristorante,4.4,713,Medio,"italian, tuscan",Classic NYC Italian done well! | Nice Family-Friendly Italian Spot
Per Se,4.6,1906,Muy Alto,french,"Tasting menu at its best | ... pearls, then lobster), one entree (..."
Pera Mediterranean Brasserie,4.1,355,Medio,"mediterranean, turkish, greek",Nice | We found ourselves at Pera because of a...
Pera Soho,4.1,293,Medio,"turkish, greek","I always love coming to Pera soho it’s a great spot to hangout with friends.... | Fresh, tasty, straightforward menu. Great appetizers."
Perry St,4.4,376,Muy Alto,"french, american, asian, contemporary",The Rice Cracker Crusted Ahi Tuna is perfectly prepared: crispy on the outsid... | I had never had a hibiscus poached pear...
Pershing Square Restaurant,4.2,2714,Medio,"french, american, gastropub","... away (no reservation) and I had the pot pie while he had the lobster roll. | This restaurant, just across the street..."
Pete's Tavern,4.2,482,Medio,"american, bar, international, pub",Great place to eat or drink | I was in NYC for a business trip and was...
Petite Boucherie,4.8,982,Medio,french,"All in all, a must visit west village gem. Merci Boucherie, we will see you... | ... and the chocolate mousse was incred..."
Petrossian Caviar Nyc,4.3,173,Medio,"french, international, european",We mainly wanted to try their croissants but we also had a bowl of borscht... | Very posh
Pi Greek Bakerie,4.6,157,Medio,"cafe, mediterranean, greek","A good to have breakfast, everything fresh, a teastfool, the coffee is good... | ... welcome to this very beautiful plac..."
Piacere,4.4,411,Medio,"italian, mediterranean",Absolutely recommend this gem The music & environment was also a 10+ Pasta... | To recommend!
Piccola Cucina Enoteca Tapas,5.0,14,Medio,"italian, sicilian, southern-italian",Loved it!!!! Elma was great!!! | Fabulous food and wonderful wine!
Piccola Cucina Estiatorio,4.8,1210,Medio,"italian, sicilian",Perfectly located in the heart of soho I can happily say that the truffle pas... | Amazing place with fabulous pasta
Piccola Cucina Osteria,4.7,3538,Medio,"italian, sicilian","We had the lasagna and risotto and both dishes were great. | Be sure to get the grilled octopus, you..."
Piccola Cucina Uptown,4.6,134,Medio,"italian, pizza, contemporary, sicilian",A Sicilian trip without leaving NYC! | Loved
Pick A Bagel,4.3,1006,Bajo,"american, cafe, fast food, deli",NY Bagels at their Best | Convenient location
Pig 'N' Whistle On 36th,4.1,201,Medio,"irish, bar, pub","Bangers and mash was great. Lamb burger was really good as well. Good service... | Great bar ,excellent location,near E.S...."
Pig 'N' Whistle Public House,4.0,240,Medio,"american, irish, brew pub, bar, pub, gastropub",My wife and I ate here one night while on vacation in NYC. | The best Irish restaurant in the area!
Pig And Khao - Uws,4.4,5,No disponible,"filipino, asian, thai","... of garlic rice, and for dessert the... | Excellent food and service made for a fun evening"
Pig and Khao,4.3,178,Medio,"filipino, asian, thai",The Filipino sizzling sisig served with egg was a medley of delightful flavors... | Gem
Pineapple Club,4.9,9,Medio,"american, bar, contemporary",Awesome Brunch! | Super fun bar and wait staff
Ping's,4.0,320,Medio,"chinese, seafood, asian, cantonese, hong kong",We had lunch menu with soup chichen in black bean and rice. | Always great DIM SUM.
Pio Pio 6,4.3,416,Medio,"peruvian, latin, spanish, south american","Within 5 minutes after you order the avocado salad with the beer, everything on... | Birthday Celebration"
Pio Pio 8,4.3,605,Medio,"peruvian, latin, spanish, south american",amazing ceviche in NY | Large portions!
Pisticci,4.4,283,Medio,italian,"Delivery during COVID 19. I had the prosciutto e spinaci, which is spaghetti... | Great local restaurant with good service and food"
PizzArte,4.4,1471,Medio,"italian, pizza","This restaurant offers pizza, pasta, salad and entrees for lunch. | Super good gluten-free pizza"
Plado Tasting Bar,4.9,7,Medio,international,This is an amazing little spot for tapas! All of the dishes were spectacular... | Fantastic Experience
Playa Betty's,3.8,220,Medio,"mexican, bar",Good tacos for reasonably prices and guacamole made to your liking. Great... | Burrito was very good!
Playwright Celtic Pub,4.0,1027,Medio,"american, irish, bar, international, pub",On the second visit we went to the upstairs bar that was much quieter. | The messy burger was to die for!
Playwright Irish Pub,4.0,775,Medio,"american, irish, bar, pub, gastropub","John the landlord is a star, always in the bar to welcome you. One of the best... | Good food, the pints are small"
Please Don't Tell,4.1,505,Medio,"american, bar, international","You can genuinely taste the quality and thought that goes into each drink. | Cool speakeasy style bar, accessed..."
Pokeworks,4.4,135,Medio,"japanese, seafood, fast food, sushi, asian, hawaiian",Sushi was fresh and rice was cooked to purrrfection people were helpful in... | Nutrition and wholesomeness served efficiently
Pommes Frites,4.4,419,Bajo,"belgian, fast food","The fries are made like they’re from Belgium, and the sauces are amazing!! Can... | Great snack"
