Nombre_Restaurante,Rating,Cantidad_Reseñas,Precio,Tipo_Cocina,Resena
$1.50 Fresh Pizza,4.3,341,Bajo,"pizza, fast food",If you are in New York make sure to stop... | Nice cheep pizza
Asuka Sushi,4.4,146,Medio,"japanese, sushi, thai",Perfect NYC sushi restaurant | Let the sushi chef choose your sashimi or...
At Nine Restaurant & Bar,4.5,153,Medio,"asian, thai",The Pad Thai is heavy on the fish sauce so be prepareed. | Great spot
Atera,4.6,219,Muy Alto,american,"Atera serves a tasting menu along with wine pairing or temperance... | ... truffle, foie gras and other specia..."
Atlantic Grill,4.1,540,Muy Alto,"american, seafood","It felt like a chain restaurant. We will choose a different restaurant the next... | ... salmon, with a side of truffle fries!"
Atoboy,4.5,124,Medio,"asian, korean","The octopus, pork belly, urchin crab salad, mackerel radicchio salad were so... | Pitched well"
Atrio Wine Bar & Restaurant,3.8,170,Medio,"wine bar, italian, american, contemporary","I stayed at the Conrad Hotel because I was installing an event, MISSING LINK... | Nice Place"
Au Cheval,4.4,136,Medio,american,"Must get the bacon/egg burger (+avocado), foie gras, branzino and rib eye. Save... | Great Burgers And More"
Au Za'Atar - East Village,4.5,229,Medio,"lebanese, mediterranean, middle eastern",Lebanon in the East Village NYC | Lamb shawarma tower dry and bland.
Aunt Jake's Pasta Experience,5.0,2,No disponible,italian,Lovely experience❤️ | Aunt Jake’s fabulous pasta making experience
Avant Garden,4.4,104,Medio,"american, healthy",The entire space is decorated with a classic cottagecore theme. | ;-) Definitely a recommendation and we...
Avra Madison Estiatorio,4.3,431,Muy Alto,"seafood, greek","... clean Greek salad to start, then a ... | Great value and quality!"
Avra Midtown,4.3,1174,Muy Alto,"seafood, mediterranean, greek",Great Location For Groups | Disappointed
Ayada Thai,4.4,100,Medio,"asian, thai",BEST MANGO SALAD EVER | Amazing Pad Thai
Ayza Wine & Chocolate Bar,4.4,603,Medio,"american, bar, wine bar, dining bars","Great happy hour, cheese board and chocolate fondue. | ... • Herb Goat Cheese – fresh and flav..."
Añejo Tribeca,4.0,161,Medio,"mexican, latin","Delicious tacos | I swear, the chicken tacos may have bee..."
B Side Pizzeria,4.6,560,Medio,pizza,"Baked pear and kale salad, followed by... | Highly recommend!"
B&H Dairy,4.6,105,Bajo,"american, soups","Thick challah toast, amazing real blintzes, pancakes any style,on site mixed... | Score! Telling all my friends"
BG - Bergdorf Goodman,4.5,551,Muy Alto,"american, contemporary","Some table favorites were the truffle chicken salad sandwich, the deviled egg... | I found BG on Trip Advisor. It is located..."
BLT Steak,4.3,616,Muy Alto,"american, steakhouse","Beyond the food (all of if wonderful), the service was impeccable and... | Almost great…..but worth going"
BONSAII Tapas & Wine Bar,4.0,11,Medio,dining bars,Decent Tapas Place but could have been better ! | Cozy Hidden Bar And Restaurant
