station_complex_id,station_complex,hour,Pasajeros mensual,estacion_latitude,estacion_longitude
149,163 St-Amsterdam Av (C),17,1979.0,40.836014,-73.939896
149,163 St-Amsterdam Av (C),18,1828.0,40.836014,-73.939896
149,163 St-Amsterdam Av (C),19,843.0,40.836014,-73.939896
149,163 St-Amsterdam Av (C),20,718.0,40.836014,-73.939896
149,163 St-Amsterdam Av (C),21,531.0,40.836014,-73.939896
150,155 St (C),10,979.0,40.830517,-73.94151
150,155 St (C),11,1046.0,40.830517,-73.94151
150,155 St (C),12,1218.0,40.830517,-73.94151
150,155 St (C),13,1183.0,40.830517,-73.94151
150,155 St (C),14,1714.0,40.830517,-73.94151
150,155 St (C),15,1370.0,40.830517,-73.94151
150,155 St (C),16,1189.0,40.830517,-73.94151
150,155 St (C),17,1125.0,40.830517,-73.94151
150,155 St (C),18,897.0,40.830517,-73.94151
150,155 St (C),19,575.0,40.830517,-73.94150999999998
150,155 St (C),20,301.0,40.830517,-73.94151
150,155 St (C),21,256.0,40.830517,-73.94151
151,"145 St (A,C,B,D)",10,17336.0,40.824783,-73.944214
151,"145 St (A,C,B,D)",11,16622.0,40.82478299999999,-73.944214
151,"145 St (A,C,B,D)",12,16225.0,40.824783,-73.944214
151,"145 St (A,C,B,D)",13,17544.0,40.824783,-73.944214
151,"145 St (A,C,B,D)",14,20944.0,40.824783,-73.944214
151,"145 St (A,C,B,D)",15,29936.0,40.824783,-73.944214
151,"145 St (A,C,B,D)",16,27559.0,40.824783,-73.944214
151,"145 St (A,C,B,D)",17,27800.0,40.824783,-73.944214
151,"145 St (A,C,B,D)",18,26417.0,40.824783,-73.944214
151,"145 St (A,C,B,D)",19,13912.0,40.82478299999999,-73.944214
151,"145 St (A,C,B,D)",20,8375.0,40.824783,-73.944214
151,"145 St (A,C,B,D)",21,5719.0,40.824783,-73.944214
152,"135 St (C,B)",10,3249.0,40.817894,-73.94765
152,"135 St (C,B)",11,2688.0,40.817894,-73.94765
152,"135 St (C,B)",12,3551.0,40.817894,-73.94765
152,"135 St (C,B)",13,3584.0,40.817894,-73.94765
